"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
76,"1010101010","0111111111","1010101010","1111111111",0.464844,0.015196,0.01536,0.01536,0.0,0.0,0.0,"⎛ E ⎞⎛      C,G,I      ⎞\n⎝ C ⎠⎝ B,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
77,"1010101010","0111111111","1010101010","0111011101",0.001953,0.008292,0.00849,0.00849,0.0,0.0,0.0,"⎛ C ⎞⎛     E,G,I     ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
78,"1010101010","0111111111","1010101010","0101010101",0.064453,0.029644,0.030262,0.030239,2.3e-05,0.0,0.0,"⎛ I ⎞⎛   C,E,G   ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
79,"1010101010","0111111111","1010101010","1010101010",0.072266,0.014317,0.014725,0.014725,0.0,0.0,0.0,"⎛ E ⎞⎛  C,G,I  ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
80,"1010101010","1111111110","1111111111","1111111111",0.458984,0.003909,0.003948,0.003948,0.0,0.0,0.0,"⎛ E ⎞⎛  A,B,C,D,F,G,H,I  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
81,"1010101010","1111111110","1111111111","0111011101",0.023438,0.018885,0.019261,0.019261,0.0,0.0,0.0,"⎛ D ⎞⎛ A,B,C,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
82,"1010101010","1111111110","1111111111","0101010101",0.0,0.038093,0.038848,0.038848,0.0,0.0,0.0,"⎛ G ⎞⎛ A,B,C,D,E,F,H,I ⎞\n⎝ ∅ ⎠⎝     B,D,F,H     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
83,"1010101010","1111111110","1111111111","1010101010",0.001953,0.018407,0.018943,0.018943,0.0,0.0,0.0,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    A,C,E,G,I    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
84,"1010101010","1111111110","0111011101","1111111111",0.472656,0.010326,0.010724,0.010724,0.0,0.0,0.0,"⎛ F ⎞⎛     B,C,D,G,H     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
85,"1010101010","1111111110","0111011101","0111011101",0.023438,0.005859,0.005934,0.005878,5.6e-05,0.0,0.0,"⎛ D ⎞⎛  B,C,F,G,H  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
86,"1010101010","1111111110","0111011101","0101010101",0.0,0.018677,0.018927,0.018927,0.0,0.0,0.0,"⎛ G ⎞⎛ B,C,D,F,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
87,"1010101010","1111111110","0111011101","1010101010",0.001953,0.006987,0.007137,0.007137,0.0,0.0,0.0,"⎛ B ⎞⎛ C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
88,"1010101010","1111111110","0101010101","1111111111",0.472656,0.003207,0.003247,0.003247,0.0,0.0,0.0,"⎛ F ⎞⎛       B,D,H       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
