"indice","estado","condicion","alcance","mecanismo","perdida","tiempo_wall_s","tiempo_cpu_s","cpu_user_s","cpu_sys_s","mem_rss_mb","gpu_mem_mb","particion","plataforma"
61,"1010101010","1111111111","1010101010","0111011101",0.020508,0.304297,0.304935,0.300937,0.003998,0.0,0.0,"⎛ C ⎞⎛    A,E,G,I    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
62,"1010101010","1111111111","1010101010","0101010101",0.008789,0.109805,0.110453,0.106444,0.004009,0.0,0.0,"⎛ G ⎞⎛  A,C,E,I  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
63,"1010101010","1111111111","1010101010","1010101010",0.016602,0.095684,0.095974,0.091988,0.003986,0.0,0.0,"⎛ A ⎞⎛  C,E,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
64,"1010101010","0111111111","1111111111","1111111111",0.478516,19.035502,19.050161,18.73842,0.311741,0.0,0.0,"⎛ E ⎞⎛  B,C,D,F,G,H,I,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
65,"1010101010","0111111111","1111111111","0111011101",0.001953,4.604721,4.607522,4.571569,0.035953,0.0,0.0,"⎛ C ⎞⎛ B,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝  B,C,D,F,G,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
66,"1010101010","0111111111","1111111111","0101010101",0.015625,1.150499,1.152352,1.152295,5.7e-05,0.0,0.0,"⎛ J ⎞⎛ B,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    B,D,F,H,J    ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
67,"1010101010","0111111111","1111111111","1010101010",0.015625,0.579484,0.580381,0.572406,0.007975,0.0,0.0,"⎛ J ⎞⎛ B,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝     C,E,G,I     ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
68,"1010101010","0111111111","0111011101","1111111111",0.490234,4.089629,4.089979,4.061943,0.028036,0.0,0.0,"⎛ B ⎞⎛    C,D,F,G,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
69,"1010101010","0111111111","0111011101","0111011101",0.001953,1.054309,1.054252,1.046272,0.00798,0.0,0.0,"⎛ C ⎞⎛  B,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
70,"1010101010","0111111111","0111011101","0101010101",0.015625,0.294687,0.295176,0.291187,0.003989,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
71,"1010101010","0111111111","0111011101","1010101010",0.015625,0.154347,0.154516,0.154516,0.0,0.0,0.0,"⎛ J ⎞⎛ B,C,D,F,G,H ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
72,"1010101010","0111111111","0101010101","1111111111",0.490234,1.049408,1.049911,1.045882,0.004029,0.0,0.0,"⎛ B ⎞⎛      D,F,H,J      ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
73,"1010101010","0111111111","0101010101","0111011101",0.240234,0.286861,0.287325,0.287286,3.9e-05,0.0,0.0,"⎛ B ⎞⎛    D,F,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Linux:AMD EPYC 7302 16-Core Processor:503GB-RAM"
