"indice","estado","condicion","alcance","mecanismo","perdida","tiempo","particion","plataforma"
66,"1010101010","0111111111","1111111111","0101010101",0.017896,0.0979,"⎛ H ⎞⎛ B,C,D,E,F,G,I,J ⎞\n⎝ ∅ ⎠⎝    B,D,F,H,J    ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
67,"1010101010","0111111111","1111111111","1010101010",0.007479,0.0749,"⎛ B ⎞⎛ C,D,E,F,G,H,I,J ⎞\n⎝ ∅ ⎠⎝     C,E,G,I     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
68,"1010101010","0111111111","0111011101","1111111111",0.043889,0.1239,"⎛ D ⎞⎛    B,C,F,G,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
69,"1010101010","0111111111","0111011101","0111011101",0.027178,0.0981,"⎛ B ⎞⎛  C,D,F,G,H,J  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
70,"1010101010","0111111111","0111011101","0101010101",0.017896,0.0793,"⎛ H ⎞⎛ B,C,D,F,G,J ⎞\n⎝ ∅ ⎠⎝  B,D,F,H,J  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
71,"1010101010","0111111111","0111011101","1010101010",0.007479,0.0631,"⎛ B ⎞⎛ C,D,F,G,H,J ⎞\n⎝ ∅ ⎠⎝   C,E,G,I   ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
72,"1010101010","0111111111","0101010101","1111111111",0.043889,0.0951,"⎛ D ⎞⎛      B,F,H,J      ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
73,"1010101010","0111111111","0101010101","0111011101",0.027178,0.0795,"⎛ B ⎞⎛    D,F,H,J    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
74,"1010101010","0111111111","0101010101","0101010101",0.017896,0.0797,"⎛ H ⎞⎛  B,D,F,J  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
75,"1010101010","0111111111","0101010101","1010101010",0.007479,0.0478,"⎛ B ⎞⎛ D,F,H,J ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
76,"1010101010","0111111111","1010101010","1111111111",0.099379,0.0811,"⎛ G ⎞⎛       C,E,I       ⎞\n⎝ ∅ ⎠⎝ B,C,D,E,F,G,H,I,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
77,"1010101010","0111111111","1010101010","0111011101",0.045312,0.0674,"⎛ E ⎞⎛     C,G,I     ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
78,"1010101010","0111111111","1010101010","0101010101",0.037189,0.0477,"⎛ ∅ ⎞⎛ C,E,G,I ⎞\n⎝ F ⎠⎝ B,D,H,J ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
79,"1010101010","0111111111","1010101010","1010101010",0.018582,0.0157,"⎛ E ⎞⎛  C,G,I  ⎞\n⎝ ∅ ⎠⎝ C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
80,"1010101010","1111111110","1111111111","1111111111",0.017862,0.143,"⎛ A ⎞⎛  B,C,D,E,F,G,H,I  ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
81,"1010101010","1111111110","1111111111","0111011101",0.003342,0.1107,"⎛ B ⎞⎛ A,C,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝   B,C,D,F,G,H   ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
82,"1010101010","1111111110","1111111111","0101010101",0.007379,0.0799,"⎛ C ⎞⎛ A,B,D,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝     B,D,F,H     ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
83,"1010101010","1111111110","1111111111","1010101010",0.002189,0.0954,"⎛ D ⎞⎛ A,B,C,E,F,G,H,I ⎞\n⎝ ∅ ⎠⎝    A,C,E,G,I    ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
84,"1010101010","1111111110","0111011101","1111111111",0.078367,0.1106,"⎛ D ⎞⎛     B,C,F,G,H     ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
85,"1010101010","1111111110","0111011101","0111011101",0.003342,0.0772,"⎛ B ⎞⎛  C,D,F,G,H  ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
86,"1010101010","1111111110","0111011101","0101010101",0.007379,0.0637,"⎛ C ⎞⎛ B,D,F,G,H ⎞\n⎝ ∅ ⎠⎝  B,D,F,H  ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
87,"1010101010","1111111110","0111011101","1010101010",0.002189,0.0545,"⎛ D ⎞⎛ B,C,F,G,H ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
88,"1010101010","1111111110","0101010101","1111111111",0.078367,0.0792,"⎛ D ⎞⎛       B,F,H       ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
89,"1010101010","1111111110","0101010101","0111011101",0.003342,0.0562,"⎛ B ⎞⎛    D,F,H    ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
90,"1010101010","1111111110","0101010101","0101010101",0.009039,0.0473,"⎛ B ⎞⎛  D,F,H  ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
91,"1010101010","1111111110","0101010101","1010101010",0.002189,0.0547,"⎛ D ⎞⎛   B,F,H   ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
92,"1010101010","1111111110","1010101010","1111111111",0.017862,0.099,"⎛ A ⎞⎛      C,E,G,I      ⎞\n⎝ ∅ ⎠⎝ A,B,C,D,E,F,G,H,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
93,"1010101010","1111111110","1010101010","0111011101",0.037227,0.0682,"⎛ C ⎞⎛   A,E,G,I   ⎞\n⎝ ∅ ⎠⎝ B,C,D,F,G,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
94,"1010101010","1111111110","1010101010","0101010101",0.007379,0.0581,"⎛ C ⎞⎛ A,E,G,I ⎞\n⎝ ∅ ⎠⎝ B,D,F,H ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
95,"1010101010","1111111110","1010101010","1010101010",0.006673,0.05,"⎛ C ⎞⎛  A,E,G,I  ⎞\n⎝ ∅ ⎠⎝ A,C,E,G,I ⎠","Windows:AMD64 Family 25 Model 80 Stepping 0, AuthenticAMD:0GB-RAM"
